2022/03/21 22:01:21 [error] 22312#6864: *1 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/favicon.ico" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:4455", referrer: "http://localhost:4455/"
2022/03/21 22:27:37 [error] 6780#8176: *2 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/favicon.ico" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 185.220.100.246, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "85.139.197.10:80"
2022/03/22 00:09:51 [error] 6780#8176: *6 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/dispatch.asp" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 103.178.236.102, server: localhost, request: "GET /dispatch.asp HTTP/1.1", host: "85.139.197.10"
2022/03/22 00:20:27 [error] 22312#6864: *10 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/index.php" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 127.0.0.1, server: localhost, request: "GET /index.php HTTP/1.1", host: "localhost:4455"
2022/03/22 00:20:58 [error] 22312#6864: *10 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/index.php" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 127.0.0.1, server: localhost, request: "POST /index.php HTTP/1.1", host: "localhost:4455"
2022/03/22 00:21:12 [error] 22312#6864: *10 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/index.php" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 127.0.0.1, server: localhost, request: "POST /index.php HTTP/1.1", host: "localhost:4455"
2022/03/22 00:21:13 [error] 22312#6864: *10 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/index.php" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 127.0.0.1, server: localhost, request: "POST /index.php HTTP/1.1", host: "localhost:4455"
2022/03/22 00:21:18 [error] 22312#6864: *10 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/index.php" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 127.0.0.1, server: localhost, request: "POST /index.php HTTP/1.1", host: "localhost:4455"
2022/03/22 00:21:30 [error] 22312#6864: *10 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/index.php" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 127.0.0.1, server: localhost, request: "POST /index.php HTTP/1.1", host: "localhost:4455"
2022/03/22 00:21:31 [error] 22312#6864: *10 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/index.php" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 127.0.0.1, server: localhost, request: "POST /index.php HTTP/1.1", host: "localhost:4455"
2022/03/22 00:21:32 [error] 22312#6864: *10 CreateFile() "C:\Users\SrD4rk\Desktop\nginx/html/index.php" failed (2: O sistema não conseguiu localizar o ficheiro especificado), client: 127.0.0.1, server: localhost, request: "POST /index.php HTTP/1.1", host: "localhost:4455"
2022/07/18 23:15:32 [error] 1156#7832: *46 CreateFile() "C:\Users\Administrator\Desktop\D4rk-AC Files\VPS\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 205.185.122.184, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "173.249.9.240:4455"
